date,ticker,indicator,rsi
2022-01-03,AAPL,RSI,50.0
2022-01-04,AAPL,RSI,50.0
2022-01-05,AAPL,RSI,50.0
2022-01-06,AAPL,RSI,50.0
2022-01-07,AAPL,RSI,50.0
2022-01-10,AAPL,RSI,50.0
2022-01-11,AAPL,RSI,50.0
2022-01-12,AAPL,RSI,50.0
2022-01-13,AAPL,RSI,50.0
2022-01-14,AAPL,RSI,50.0
2022-01-17,AAPL,RSI,50.0
2022-01-18,AAPL,RSI,50.0
2022-01-19,AAPL,RSI,50.0
2022-01-20,AAPL,RSI,50.0
2022-01-21,AAPL,RSI,48.3255
2022-01-24,AAPL,RSI,38.7352
2022-01-25,AAPL,RSI,53.5353
2022-01-26,AAPL,RSI,62.206
2022-01-27,AAPL,RSI,60.1759
2022-01-28,AAPL,RSI,57.3726
2022-01-31,AAPL,RSI,62.9919
2022-02-01,AAPL,RSI,67.8481
2022-02-02,AAPL,RSI,61.1007
2022-02-03,AAPL,RSI,54.6196
2022-02-04,AAPL,RSI,57.1959
2022-02-07,AAPL,RSI,52.9653
2022-02-08,AAPL,RSI,52.6425
2022-02-09,AAPL,RSI,62.1525
2022-02-10,AAPL,RSI,70.0462
2022-02-11,AAPL,RSI,74.46
2022-02-14,AAPL,RSI,66.7134
2022-02-15,AAPL,RSI,60.5375
2022-02-16,AAPL,RSI,64.4277
2022-02-17,AAPL,RSI,73.1286
2022-02-18,AAPL,RSI,68.5263
2022-02-21,AAPL,RSI,63.0865
2022-02-22,AAPL,RSI,60.265
2022-02-23,AAPL,RSI,64.9075
2022-02-24,AAPL,RSI,65.7766
2022-02-25,AAPL,RSI,66.4762
2022-02-28,AAPL,RSI,60.91
2022-03-01,AAPL,RSI,60.2262
2022-03-02,AAPL,RSI,50.7521
2022-03-03,AAPL,RSI,54.7024
2022-03-04,AAPL,RSI,62.7564
2022-03-07,AAPL,RSI,70.1629
2022-03-08,AAPL,RSI,70.5745
2022-03-09,AAPL,RSI,66.1936
2022-03-10,AAPL,RSI,68.5823
2022-03-11,AAPL,RSI,79.6346
2022-03-14,AAPL,RSI,71.9348
2022-03-15,AAPL,RSI,66.5111
2022-03-16,AAPL,RSI,58.7107
2022-03-17,AAPL,RSI,50.3697
2022-03-18,AAPL,RSI,53.2693
2022-03-21,AAPL,RSI,60.5951
2022-03-22,AAPL,RSI,53.9774
2022-03-23,AAPL,RSI,57.6534
2022-03-24,AAPL,RSI,44.4426
2022-03-25,AAPL,RSI,41.773
2022-03-28,AAPL,RSI,38.6074
2022-03-29,AAPL,RSI,41.6242
2022-03-30,AAPL,RSI,43.8551
2022-03-31,AAPL,RSI,44.6067
2022-04-01,AAPL,RSI,50.0541
2022-04-04,AAPL,RSI,49.3083
2022-04-05,AAPL,RSI,55.9151
2022-04-06,AAPL,RSI,58.46
2022-04-07,AAPL,RSI,52.8547
2022-04-08,AAPL,RSI,40.472
2022-04-11,AAPL,RSI,40.4127
2022-04-12,AAPL,RSI,37.455
2022-04-13,AAPL,RSI,46.1896
2022-04-14,AAPL,RSI,52.0301
2022-04-15,AAPL,RSI,48.7673
2022-04-18,AAPL,RSI,46.2613
2022-04-19,AAPL,RSI,45.6649
2022-04-20,AAPL,RSI,38.4006
2022-04-21,AAPL,RSI,43.595
2022-04-22,AAPL,RSI,42.6
2022-04-25,AAPL,RSI,34.1398
2022-04-26,AAPL,RSI,33.3759
2022-04-27,AAPL,RSI,34.0215
2022-04-28,AAPL,RSI,43.7678
2022-04-29,AAPL,RSI,46.696
2022-05-02,AAPL,RSI,42.7273
2022-05-03,AAPL,RSI,45.5018
2022-05-04,AAPL,RSI,43.4015
2022-05-05,AAPL,RSI,51.7715
2022-05-06,AAPL,RSI,49.8554
2022-05-09,AAPL,RSI,41.5813
2022-05-10,AAPL,RSI,43.176
2022-05-11,AAPL,RSI,29.6125
2022-05-12,AAPL,RSI,26.9888
2022-05-13,AAPL,RSI,24.3662
2022-05-16,AAPL,RSI,23.0212
2022-05-17,AAPL,RSI,29.478
2022-05-18,AAPL,RSI,22.9581
2022-05-19,AAPL,RSI,23.2905
2022-05-20,AAPL,RSI,31.9126
2022-05-23,AAPL,RSI,27.4961
2022-05-24,AAPL,RSI,29.0501
2022-05-25,AAPL,RSI,21.851
2022-05-26,AAPL,RSI,21.6675
2022-05-27,AAPL,RSI,20.8202
2022-05-30,AAPL,RSI,20.4028
2022-05-31,AAPL,RSI,29.8117
2022-06-01,AAPL,RSI,29.4547
2022-06-02,AAPL,RSI,36.3098
2022-06-03,AAPL,RSI,41.7333
2022-06-06,AAPL,RSI,36.8381
2022-06-07,AAPL,RSI,35.1579
2022-06-08,AAPL,RSI,36.9764
2022-06-09,AAPL,RSI,26.0847
2022-06-10,AAPL,RSI,28.9835
2022-06-13,AAPL,RSI,22.7941
2022-06-14,AAPL,RSI,38.2394
2022-06-15,AAPL,RSI,38.136
2022-06-16,AAPL,RSI,38.0218
2022-06-17,AAPL,RSI,40.6829
2022-06-20,AAPL,RSI,36.2586
2022-06-21,AAPL,RSI,54.6976
2022-06-22,AAPL,RSI,56.8817
2022-06-23,AAPL,RSI,57.5242
2022-06-24,AAPL,RSI,67.7458
2022-06-27,AAPL,RSI,68.9474
2022-06-28,AAPL,RSI,64.2409
2022-06-29,AAPL,RSI,61.5368
2022-06-30,AAPL,RSI,58.5015
2022-07-01,AAPL,RSI,51.6942
2022-07-04,AAPL,RSI,47.6289
2022-07-05,AAPL,RSI,47.713
2022-07-06,AAPL,RSI,45.9213
2022-07-07,AAPL,RSI,41.4796
2022-07-08,AAPL,RSI,41.8425
2022-07-11,AAPL,RSI,39.1078
2022-07-12,AAPL,RSI,44.1788
2022-07-13,AAPL,RSI,53.452
2022-07-14,AAPL,RSI,49.9131
2022-07-15,AAPL,RSI,50.678
2022-07-18,AAPL,RSI,45.5661
2022-07-19,AAPL,RSI,49.475
2022-07-20,AAPL,RSI,48.1045
2022-07-21,AAPL,RSI,51.3473
2022-07-22,AAPL,RSI,47.0966
2022-07-25,AAPL,RSI,47.3697
2022-07-26,AAPL,RSI,56.2277
2022-07-27,AAPL,RSI,60.8768
2022-07-28,AAPL,RSI,59.2946
2022-07-29,AAPL,RSI,52.2533
2022-08-01,AAPL,RSI,38.5051
2022-08-02,AAPL,RSI,19.3515
2022-08-03,AAPL,RSI,15.4815
2022-08-04,AAPL,RSI,30.3775
2022-08-05,AAPL,RSI,39.616
2022-08-08,AAPL,RSI,44.124
2022-08-09,AAPL,RSI,45.7754
2022-08-10,AAPL,RSI,42.19
2022-08-11,AAPL,RSI,40.8311
2022-08-12,AAPL,RSI,38.7053
2022-08-15,AAPL,RSI,43.6916
2022-08-16,AAPL,RSI,40.0209
2022-08-17,AAPL,RSI,44.3378
2022-08-18,AAPL,RSI,44.9081
2022-08-19,AAPL,RSI,55.3114
2022-08-22,AAPL,RSI,58.8753
2022-08-23,AAPL,RSI,58.3678
2022-08-24,AAPL,RSI,51.446
2022-08-25,AAPL,RSI,47.7923
2022-08-26,AAPL,RSI,45.0765
2022-08-29,AAPL,RSI,45.3161
2022-08-30,AAPL,RSI,45.2489
2022-08-31,AAPL,RSI,44.0555
2022-09-01,AAPL,RSI,48.0035
2022-09-02,AAPL,RSI,45.1061
2022-09-05,AAPL,RSI,50.1712
2022-09-06,AAPL,RSI,44.5215
2022-09-07,AAPL,RSI,51.7771
2022-09-08,AAPL,RSI,54.0138
2022-09-09,AAPL,RSI,53.0723
2022-09-12,AAPL,RSI,51.3802
2022-09-13,AAPL,RSI,57.4456
2022-09-14,AAPL,RSI,63.6191
2022-09-15,AAPL,RSI,67.737
2022-09-16,AAPL,RSI,71.3521
2022-09-19,AAPL,RSI,70.5611
2022-09-20,AAPL,RSI,69.1272
2022-09-21,AAPL,RSI,73.0932
2022-09-22,AAPL,RSI,73.8573
2022-09-23,AAPL,RSI,72.4408
2022-09-26,AAPL,RSI,70.6976
2022-09-27,AAPL,RSI,73.4789
2022-09-28,AAPL,RSI,64.4689
2022-09-29,AAPL,RSI,59.6116
2022-09-30,AAPL,RSI,63.152
2022-10-03,AAPL,RSI,58.3578
